ID,Genero,Años,Estado_civil,Trabajo,Sector,Telefono,Anos_usando_internet_banking,Anos_usando_banca_movil,Banca_movil_userfriendly,Frecuencia_internet_banking_mes,Frecuencia_banca_movil_mes,Frecuencia_pagamentos_tarjeta_mes,Frecuencia_tarjeta_virtual_mes,Frecuencia_saldo_cuenta_mes
42,F,45,Casado,Ingenieria en computacion,Institucion publica,Iphone ,10,3,Si,31,7,0,0,31
112,F,30,Soltero,Ingenieria en computacion,Institucion publica,Nokia,10,3,Si,0,7,1,0,0
212,M,45,Casado,Desempleados,Sector privado,Iphone 6,10,6,Si,1,1,15,0,4
156,F,30,Casado,Ingenieria en computacion,Sector privado,General Mobile,10,6,No,,50,15,0,0
228,F,24,Casado,Servidor publico,Sector privado,Smartphone,5,6,Si,4,7,0,0,15
155,M,35,,Cajero,Sector privado,Samsung,5,4,No,7,0,1,0,0
52,M,24,Casado,Enfermera,Institucion publica,Samsung 7+ Edge,5,3,Si,31,4,1,0,0
123,M,30,Casado,Profesor,Sector privado,HTC M8,5,0,Si,0,0,0,15,1
185,F,50,Casado,Ingeniero,Institucion publica,,5,3,No,0,0,0,1,30
249,M,35,Casado,,Institucion publica,Iphone,10,3,Si,31,1,0,0,0
7,F,30,Soltero,Ingeniero,Institucion publica,Asus ZenFone,15,3,Si,50,31,1,0,0
50,M,30,Casado,Servidor publico,,Asus,5,6,No,31,7,0,0,0
241,M,45,Casado,Profesor,Institucion publica,SONY,5,3,No,7,4,0,0,31
82,F,30,Casado,AlumNo,,Iphone 6,10,0,Si,31,,0,0,35
218,M,30,Casado,Desempleados,Institucion publica,,5,0,Si,50,4,0,0,31
240,M,40,Soltero,Ingeniero,Sector privado,Smartphone,5,7,No,0,31,1,0,31
68,M,45,Soltero,Profesor,Institucion publica,SONY XPER?A 75,10,0,Si,0,1,0,0,4
36,M,40,Soltero,Trabajador,Sector privado,Samsung 7+ Edge,5,3,Si,7,1,1,0,15
214,F,50,Soltero,Servidor publico,Sector privado,Sony,5,3,Si,50,1,1,0,31
124,F,35,Casado,,Institucion publica,Iphone ,5,0,Si,1,50,15,0,15
207,M,35,Soltero,Profesor,Sector privado,LG G3,10,3,Si,31,0,0,0,15
231,F,40,Casado,Desempleados,Sector privado,Samsung,10,6,Si,1,4,1,15,0
175,M,30,Soltero,Profesor,Institucion publica,Samsung,5,3,No,30,7,1,0,31
129,M,35,Soltero,Director,Sector privado,Iphone 5S,10,,Si,1,50,0,0,31
245,F,35,Casado,Ingeniero,Sector privado,Asus,10,4,No,1,4,0,0,30
93,M,30,Soltero,Ingenieria en computacion,Sector privado,Samsung,5,0,Si,7,4,1,0,0
5,M,30,Soltero,Ingeniero electrico,Institucion publica,Samsung,15,7,No,31,7,1,0,0
149,M,30,Casado,,Sector privado,,10,7,Si,7,7,1,0,31
189,M,30,Soltero,Ingenieria en computacion,Institucion publica,ASUS,10,3,Si,0,0,31,0,35
113,M,40,Soltero,Ingenieria en computacion,Institucion publica,Iphone ,5,6,Si,0,7,1,0,
125,F,24,Casado,Ingeniero biomedico,Institucion publica,LG,5,4,No,31,0,0,0,15
67,F,35,Casado,Ingeniero biomedico,Institucion publica,Iphone 5,5,7,Si,0,50,1,0,4
86,M,40,Soltero,Ingeniero de informacion,Desempleados,,0,6,Si,1,7,31,0,0
179,F,30,Casado,Medico,Sector privado,General mobile,5,7,Si,31,0,0,0,1
121,M,35,Soltero,Profesor,Sector privado,Iphone 6,5,3,No,1,0,0,0,31
161,M,24,Soltero,,Sector privado,Iphone ,5,0,Si,30,31,1,15,7
146,F,40,Soltero,Profesor,Sector privado,Iphone 5S,10,3,Si,50,7,0,0,35
82,F,24,Soltero,Analista de informacion,Desempleados,Samsung,0,6,Si,1,31,15,0,0
99,M,30,Casado,,Institucion publica,Smartphone,0,3,Si,7,7,31,31,15
84,M,24,Soltero,Enfermera,Sector privado,Asus ZenFone Selfie,5,7,No,,7,1,0,
40,F,35,Soltero,Profesor,Institucion publica,,10,,Si,31,31,0,31,1
36,M,50,Soltero,,Desempleados,Samsung Note 5,10,3,No,0,7,31,1,4
142,F,24,Casado,Enfermera,Sector privado,Iphone 6,0,,Si,1,50,1,,31
215,F,30,Casado,Ingeniero de informacion,Sector privado,Iphone 6S,5,7,Si,31,31,0,0,31
26,F,50,Soltero,Profesor,Institucion publica,Samsung,5,3,No,31,0,1,1,30
138,M,30,Casado,Ingenieria en computacion,Institucion publica,Smartphone,5,6,Si,4,50,31,0,0
8,M,30,Casado,Ingeniero de software,Sector privado,Iphone  5S,5,7,Si,31,1,1,0,30
120,M,40,Casado,Analista de informacion,Sector privado,Samsung,5,3,Si,50,31,1,1,0
61,M,45,Soltero,ArtesaNo,Sector privado,Samsung S7+,5,3,Si,1,1,31,0,1
24,M,45,Casado,Ingenieria en computacion,Desempleados,Iphone 4S,10,7,Si,31,31,0,0,0
111,M,35,Casado,Ingenieria en computacion,Desempleados,Samsung S7+,5,3,No,1,1,0,1,0
119,M,40,Soltero,adquisitivo,Sector privado,,5,3,Si,4,0,31,0,31
30,F,35,Casado,Servidor publico,Institucion publica,Iphone ,,3,Si,0,30,0,0,7
241,F,30,Casado,Servidor publico,Sector privado,Iphone ,5,6,Si,7,4,0,15,0
154,M,30,Soltero,AlumNo,Institucion publica,Samsung S3,5,0,No,0,1,0,0,15
144,M,24,Casado,Servidor publico,Sector privado,Iphone 7S,5,6,No,31,0,1,0,0
59,M,30,Soltero,Desempleados,Sector privado,Iphone ,10,0,No,30,31,15,1,31
73,,35,Soltero,Quimico,Selfemployed ,Samsung Note 3,10,3,Si,0,31,1,0,0
29,M,30,Casado,Cajero,Selfemployed ,Iphone 5,0,4,Si,31,7,1,0,7
224,M,35,Casado,AlumNo,Sector privado,LG G2,5,3,Si,50,30,1,0,31
40,M,24,Soltero,,Selfemployed ,,5,3,Si,4,31,0,,30
109,F,24,Soltero,Ingenieria en computacion,Institucion publica,Samsung j,10,7,Si,,31,1,0,0
29,M,50,Casado,Ingenieria en computacion,Desempleados,Samsung,0,3,Si,50,7,0,0,4
11,F,35,Soltero,Ingeniero de software,Desempleados,Iphone 5S,5,3,Si,31,31,1,15,15
133,F,30,Soltero,Ingenieria en computacion,Institucion publica,Iphone 6+,5,4,Si,31,1,0,15,
5,F,30,Soltero,,Sector privado,Sony,0,3,Si,0,0,30,0,7
35,M,24,Casado,Ingeniero de software,Desempleados,LG,10,4,Si,50,31,0,15,15
84,M,30,Soltero,,Institucion publica,Samsung s3,5,3,Si,,1,0,0,15
118,M,35,Casado,Desempleados,Sector privado,Iphone ,5,6,Si,31,31,1,0,15
22,,30,Soltero,Ingenieria en computacion,Institucion publica,Samsung S7,10,0,No,,4,1,15,15
31,M,24,Casado,Profesor,Selfemployed ,,15,6,No,1,50,31,0,7
92,,30,Casado,Servidor publico,Institucion publica,Sony,5,3,Si,0,0,1,0,0
183,F,35,Casado,Retirado,Institucion publica,Genaral Mobile,15,0,Si,1,1,31,0,1
222,M,45,Soltero,Servidor publico,Sector privado,Iphone 5S,5,7,Si,31,50,4,0,15
231,M,24,Casado,Minero,Desempleados,Samsung S7+,10,4,No,50,7,0,0,0
210,F,40,Soltero,,Institucion publica,,15,3,No,0,50,1,0,1
158,F,40,Soltero,,Institucion publica,Samsung,5,0,Si,50,7,15,0,4
162,F,45,Casado,Profesor,Institucion publica,HTC,5,3,Si,0,1,15,0,31
142,M,45,Casado,,Sector privado,,10,6,Si,1,30,1,1,31
68,F,45,Soltero,Ingeniero biomedico,Institucion publica,SAMSUNG S6,10,6,Si,31,0,0,15,0
73,F,30,Casado,Ingeniero de informacion,Sector privado,Samsung,10,3,No,31,0,0,0,0
60,M,35,Casado,,Sector privado,Android,5,6,No,,50,31,0,31
160,M,30,Soltero,Desempleados,Desempleados,HTC M8,10,0,No,30,4,15,15,7
13,F,40,Casado,Psicologo,Desempleados,Samsung S7+,5,3,Si,30,1,1,0,31
95,F,35,Soltero,Servidor publico,Desempleados,Iphone ,10,,Si,1,0,1,0,1
36,M,40,Soltero,Ingeniero de informacion,Desempleados,LeNovo K5 Vibe,5,3,No,31,7,1,15,
13,M,30,Soltero,Desempleados,Desempleados,Samsung,5,,Si,31,30,1,0,1
105,,35,Casado,Desempleados,Institucion publica,Samsung,0,3,No,31,7,15,,0
249,M,30,Casado,Profesor,Institucion publica,Iphone 6,10,7,Si,0,,1,0,7
208,F,35,Soltero,Servidor publico,Institucion publica,Iphone,0,3,Si,0,4,15,15,0
53,M,24,Casado,Profesor,Sector privado,Iphone ,5,3,Si,31,7,15,1,0
217,M,30,Soltero,Ingeniero,Sector privado,Genaral Mobile,0,3,No,7,31,1,0,0
1,F,30,Soltero,Servidor publico,Sector privado,Iphone,5,7,Si,1,1,1,0,15
37,M,50,Soltero,,Sector privado,,5,3,Si,4,4,1,4,0
161,,30,Casado,Ingeniero,Sector privado,Iphone,5,3,No,7,0,15,0,15
193,M,24,Soltero,Desempleados,Sector privado,Reeder,0,4,Si,30,30,31,0,0
61,F,40,Soltero,Servidor publico,Institucion publica,,5,3,No,,7,0,0,0
210,F,35,Casado,Profesor,Institucion publica,Iphone ,0,6,Si,50,,4,15,7
20,M,35,Casado,Profesor,Institucion publica,Iphone ,5,3,Si,,0,15,0,0
242,,50,Casado,Ingeniero,Sector privado,Iphone  5S,5,3,No,0,7,15,1,0
121,M,45,Casado,Ingeniero biomedico,Institucion publica,,5,0,Si,0,4,1,0,0
80,F,30,Soltero,Servidor publico,Desempleados,Iphone,5,3,Si,1,7,1,4,30
12,F,24,Soltero,Servidor publico,Institucion publica,Samsung Note 2,10,3,Si,,1,31,0,15
52,F,35,Soltero,Servidor publico,Sector privado,Iphone 6,5,6,Si,7,31,1,0,31
21,F,24,Casado,,Institucion publica,Samsung J5,5,3,No,0,30,1,15,7
146,M,35,Casado,entrenador,Desempleados,Samsung,5,6,No,31,7,0,0,0
235,M,24,Soltero,AlumNo,Sector privado,Samsung,0,3,Si,4,50,1,0,0
82,F,35,Casado,Enfermera,Institucion publica,Iphone  5S,,5,Si,50,4,15,0,0
199,M,50,Soltero,Servidor publico,Sector privado,HTC ,,3,Si,31,7,1,0,7
179,F,40,Casado,Ingenieria en computacion,Institucion publica,LG,5,3,Si,1,7,1,0,30
65,M,50,Casado,Analista de informacion,Sector privado,Samsung,10,3,Si,0,30,0,0,31
160,M,30,Soltero,Quimico,Sector privado,Iphone,0,3,No,31,7,1,0,0
80,M,30,Casado,Profesor,Sector privado,HTC M8,10,7,No,0,31,1,0,1
179,F,40,Casado,Profesor,Sector privado,,0,3,No,1,0,0,0,4
148,F,30,Casado,,Desempleados,SAMSUNG A5,5,3,No,50,7,1,1,1
230,F,40,Soltero,Ingenieria en computacion,Institucion publica,Samsung J5,5,3,Si,,1,1,0,7
17,F,,Casado,Desempleados,Desempleados,Iphone,5,7,No,31,50,15,0,4
78,M,30,Soltero,Ingeniero,Institucion publica,Samsung,15,7,No,0,0,1,0,15
140,M,30,Casado,Ingeniero de software,Sector privado,Samsung Note 2,5,3,Si,50,1,15,0,31
231,M,35,Casado,Ingeniero,Sector privado,Samsung,0,3,No,50,0,0,0,0
90,F,35,Casado,Servidor publico,Sector privado,Samsung,5,,No,,50,1,0,15
80,M,24,Casado,Servidor publico,Sector privado,Iphone ,5,0,Si,0,4,31,0,0
142,M,35,Casado,Ingenieria en computacion,Desempleados,Sony,5,3,Si,30,0,31,0,7
135,M,30,Soltero,Desempleados,Institucion publica,Iphone 6,5,4,Si,0,31,31,15,0
30,M,35,Soltero,Servidor publico,Sector privado,Samsung A5,10,4,No,31,30,1,0,7
16,M,30,Soltero,Profesor,Institucion publica,Iphone 5,5,6,Si,1,7,1,0,
232,F,24,Soltero,,Sector privado,LG G3,0,4,Si,30,4,1,0,0
73,F,30,Casado,Desempleados,Institucion publica,Sony,10,0,Si,1,31,31,0,0
220,M,30,Soltero,Profesor,Institucion publica,Iphone 6+,10,6,Si,7,31,1,15,7
148,M,45,Soltero,Profesor,Sector privado,Iphone  5S,10,3,Si,30,31,1,15,0
202,M,50,Casado,Servidor publico,Institucion publica,Samsung,10,3,Si,0,1,1,0,7
157,F,40,Soltero,Profesor,Sector privado,Nokia,5,3,Si,7,50,1,0,30
44,F,45,Soltero,Ingeniero de software,Institucion publica,Samsung S7+,5,6,Si,0,31,1,7,0
242,M,50,Casado,Ingeniero,Institucion publica,,5,7,Si,7,50,0,0,0
74,M,24,Casado,Profesor,Institucion publica,Samsung,0,3,Si,,4,0,0,0
136,F,30,Casado,Profesor,Sector privado,Samsung  A6,5,0,Si,7,31,0,0,0
151,F,40,Soltero,Ingenieria en computacion,Institucion publica,General Mobile,5,4,No,1,1,1,0,30
156,F,45,Casado,Ingenieria en computacion,Sector privado,Iphone,5,,Si,0,31,1,0,31
230,M,30,Soltero,Ingeniero de informacion,Sector privado,ASUS,5,4,Si,30,0,1,15,0
182,F,30,Soltero,Servidor publico,Sector privado,Iphone,5,3,Si,1,30,15,,31
92,F,24,Soltero,Ingeniero,Sector privado,SONY Z2,5,6,Si,31,7,0,0,35
62,F,50,Soltero,Desempleados,Desempleados,Nokia,10,3,Si,7,4,0,0,4
169,M,30,Soltero,Profesor,Desempleados,LG,5,3,Si,7,31,1,1,31
129,M,24,Soltero,Profesor,Institucion publica,,5,6,No,7,7,1,0,7
206,F,35,Soltero,Profesor,Sector privado,Samsung  A6,10,0,No,,0,0,0,1
228,F,50,Casado,Ingeniero de informacion,Institucion publica,Samsung,10,3,Si,,7,31,31,0
115,M,35,Casado,ArtesaNo,Desempleados,Iphone 6,5,,Si,0,50,0,0,15
110,F,30,Soltero,Ingeniero,Institucion publica,Samsung Note 4,10,0,Si,7,7,31,31,35
134,F,30,Casado,AlumNo,Institucion publica,Samsung Note 3,5,3,No,50,0,31,0,4
158,F,,Soltero,Profesor,Sector privado,LeNovo K5 Vibe,5,4,Si,30,1,0,1,4
40,M,40,Soltero,Profesor,Sector privado,Iphone ,10,3,Si,0,4,1,0,31
29,F,30,Soltero,Ingeniero de informacion,Sector privado,SONY XPER?A 75,0,0,Si,7,4,15,,15
54,M,40,Casado,,Institucion publica,ASUS,10,6,Si,31,0,1,15,15
51,F,24,Soltero,adquisitivo,Sector privado,Samsung S6,5,4,Si,31,7,1,15,35
237,,30,Casado,Ingeniero,Institucion publica,Samsung,5,3,Si,7,31,1,0,0
54,,50,Soltero,Ingenieria en computacion,Institucion publica,Iphone ,5,6,Si,0,4,0,0,0
94,M,35,Soltero,Ingeniero de informacion,Sector privado,Iphone,0,3,No,7,31,1,0,30
151,M,,Soltero,Servidor publico,Institucion publica,Samsung S6 EDGE,5,3,No,31,50,15,15,
152,F,35,Casado,Desempleados,Sector privado,Iphone ,5,3,No,7,30,1,0,7
60,F,40,Casado,Cajero,Desempleados,Samsung  A6,0,7,Si,31,0,0,0,4
166,M,30,Casado,,Institucion publica,Samsung,10,3,Si,,30,1,0,1
44,F,30,Soltero,Ingeniero,Desempleados,Samsung,10,6,Si,0,4,15,0,4
210,F,30,Soltero,Trabajador,Sector privado,HTC M8,5,0,Si,30,0,0,0,7
119,F,30,Casado,Desempleados,Sector privado,Iphone 5S,5,4,Si,7,30,0,0,7
160,M,35,Soltero,Desempleados,Sector privado,Samsung S7+,0,6,Si,0,1,1,0,31
113,F,30,Soltero,Ingeniero de informacion,Sector privado,Samsung j,10,3,Si,0,31,1,1,4
90,M,30,,Ingeniero,Sector privado,LG,5,7,Si,31,7,1,1,1
70,M,40,Casado,Ingeniero,Desempleados,Samsung,5,3,No,1,7,1,0,0
128,M,30,Soltero,Desempleados,Institucion publica,Iphone  5S,10,3,No,0,7,15,0,30
189,M,30,Soltero,Gerente,Institucion publica,Casper,5,3,Si,1,0,1,15,0
131,,30,,Servidor publico,Institucion publica,Iphone,10,6,No,7,7,1,0,7
108,F,30,Casado,,,Samsung,0,3,No,30,31,1,0,0
117,M,50,Soltero,Ingeniero,Institucion publica,Sony,5,7,Si,,0,0,0,7
102,F,30,Soltero,Ingeniero,Desempleados,Samsung Note 3,10,4,No,1,7,0,0,1
131,M,50,Casado,Servidor publico,Institucion publica,ASUS,5,3,No,1,30,1,,7
134,F,24,Soltero,Servidor publico,Institucion publica,Iphone ,0,3,No,31,1,,0,1
236,F,30,Soltero,Contador,Sector privado,Iphone ,5,3,No,31,7,0,1,31
165,M,30,Soltero,Servidor publico,Sector privado,Samsung Note 2,5,3,Si,30,50,1,15,15
123,M,24,Soltero,Desempleados,Institucion publica,Iphone,5,3,Si,,4,15,1,7
49,F,30,Soltero,,Sector privado,Samsung,5,3,Si,7,0,1,0,0
192,F,30,Soltero,Servidor publico,Institucion publica,Iphone 5S,5,0,Si,50,7,1,0,
180,M,35,Soltero,Ingeniero,Institucion publica,Iphone 5S,5,0,No,50,7,0,0,1
112,F,45,Soltero,,Sector privado,Samsung,5,4,Si,7,31,1,0,1
156,M,50,Soltero,Desempleados,Institucion publica,Genaral Mobile,5,3,Si,31,,31,0,7
22,M,30,Casado,Desempleados,Institucion publica,LG G2,0,4,No,0,31,0,15,0
24,M,30,Soltero,Profesor,Institucion publica,Samsung,5,3,No,1,50,15,0,31
181,M,40,Casado,,Sector privado,LG,10,3,No,7,50,1,0,0
137,M,50,Casado,Ingenieria en computacion,Sector privado,Samsung,5,4,Si,1,7,1,15,0
45,M,45,Soltero,AlumNo,Sector privado,Galaxy S4,5,3,Si,0,4,0,0,0
168,M,50,Soltero,Ingeniero,Sector privado,,,4,Si,31,0,1,0,1
142,M,35,Soltero,,Sector privado,Samsung Note 4,10,6,Si,7,4,0,15,15
203,F,40,Soltero,ArtesaNo,Desempleados,,5,3,No,30,31,0,0,0
15,F,30,Casado,Servidor publico,Sector privado,,5,3,No,0,31,1,0,0
65,F,35,Casado,Ingeniero de software,Sector privado,Iphone ,5,0,Si,31,1,31,0,30
73,M,35,Soltero,Ingeniero de informacion,Sector privado,SAMSUNG S6,,3,Si,4,0,0,0,35
183,F,24,Soltero,Profesor,Institucion publica,Samsung 7+ Edge,5,3,Si,1,7,30,0,31
18,M,50,Casado,Ingeniero,Institucion publica,Sony,5,3,Si,50,7,1,0,15
158,F,35,Soltero,,Sector privado,Iphone  6,5,0,No,7,0,1,31,15
222,M,30,Casado,Matematico,Institucion publica,Iphone 7,,0,No,50,50,15,1,0
51,M,35,Soltero,Ingenieria en computacion,Sector privado,Iphone ,5,4,Si,50,31,,0,4
156,M,24,Soltero,,Sector privado,Smartphone,5,0,Si,7,0,1,0,31
135,M,40,Casado,Desempleados,Selfemployed ,LeNovo K5 Vibe,10,,No,31,31,31,0,1
96,M,30,Casado,Psicologo,Sector privado,,5,,Si,1,,15,15,7
89,F,50,Soltero,Desempleados,Desempleados,LG G3,5,4,No,1,50,15,15,0
47,M,50,Soltero,adquisitivo,Sector privado,Samsung,5,,Si,,4,1,15,7
235,F,24,Casado,Ingeniero electronico,Institucion publica,Samsung,5,6,No,1,50,0,0,1
226,M,24,Casado,Psicologo,Institucion publica,Samsung AT,5,3,No,0,1,0,0,0
3,F,50,Soltero,adquisitivo,Selfemployed ,Iphone 7S,15,3,Si,31,,0,0,31
112,M,40,Casado,Ingeniero,Desempleados,Smartphone,5,0,Si,0,31,0,0,0
53,M,45,Soltero,Ingeniero,Sector privado,Reeder,5,3,Si,7,0,15,1,
3,M,30,Soltero,Ingenieria en computacion,Sector privado,Android,5,4,Si,7,50,0,1,0
232,M,35,Casado,Ingeniero,Sector privado,,10,0,No,50,1,1,0,31
133,M,30,Soltero,Cajero,Sector privado,LG G3,10,7,No,7,50,1,0,30
21,M,30,Casado,Ingeniero electrico,Institucion publica,Samsung,5,3,No,1,7,31,0,30
242,F,30,Soltero,Ingeniero de informacion,Sector privado,SAMSUNG S6,0,3,No,31,7,1,0,1
66,F,45,Soltero,Profesor,Institucion publica,Samsung S7+,10,5,No,,30,1,1,0
188,F,24,Soltero,Gerente,Institucion publica,LG,5,6,No,31,0,31,0,0
8,M,30,Casado,Profesor,Sector privado,Iphone,5,3,Si,50,7,15,0,15
204,M,30,Soltero,Ingeniero de informacion,Sector privado,Iphone S5,5,4,No,4,0,0,15,
66,M,35,Soltero,,Sector privado,Iphone ,0,4,Si,4,31,0,0,31
26,F,35,Soltero,Ingenieria en computacion,Sector privado,Iphone 4S,5,3,Si,4,7,1,15,0
3,F,35,Casado,,Sector privado,LG G2,5,3,Si,31,31,1,0,1
7,M,24,Soltero,AlumNo,Institucion publica,Iphone,5,7,Si,0,7,1,0,1
88,F,45,Casado,,Selfemployed ,Samsung,5,3,No,30,50,15,15,15
81,M,35,Casado,Ingeniero de informacion,Sector privado,Iphone 4S,10,0,Si,31,7,1,0,7
202,M,30,Soltero,Servidor publico,Sector privado,LG,5,,Si,0,1,0,0,0
63,M,40,Soltero,Profesor,Institucion publica,Iphone,5,4,Si,1,7,0,0,30
107,M,45,Soltero,Ingeniero,Institucion publica,,10,5,No,0,31,0,0,4
14,,30,Casado,Ingeniero,Sector privado,Samsung J5,0,6,Si,,50,0,1,30
226,F,50,Casado,Ingeniero electronico,Sector privado,,10,6,Si,0,4,15,0,0
141,M,35,Casado,Ingenieria en computacion,Institucion publica,Android,10,0,Si,1,0,0,0,7
175,M,30,Soltero,Ingeniero de software,Institucion publica,Iphone 6s,10,3,Si,4,31,31,0,1
243,M,30,Soltero,Ingeniero,Desempleados,,5,5,Si,31,7,7,0,30
219,M,30,Casado,Ingeniero,Institucion publica,Samsung S7+,15,3,No,7,50,0,0,15
102,M,35,Casado,,Sector privado,LG,5,6,Si,4,1,1,15,0
210,F,35,Casado,AlumNo,Institucion publica,Iphone,5,3,Si,50,50,0,0,0
133,F,35,Casado,Desempleados,Sector privado,Iphone ,5,6,Si,1,7,0,0,4
165,M,35,Casado,Ingeniero de informacion,Institucion publica,Samsung S7+,10,3,No,30,7,1,0,31
199,M,40,Casado,,,Iphone,10,6,Si,50,0,1,0,7
150,F,45,Soltero,Servidor publico,Institucion publica,Samsung,5,3,No,,31,0,15,0
34,M,24,Soltero,,Institucion publica,,5,3,No,1,1,15,0,4
53,F,45,Soltero,,Institucion publica,Samsung,10,6,Si,4,50,31,0,4
154,,30,Soltero,Psicologo,Institucion publica,Iphone S5,5,6,Si,,30,1,0,0
217,M,24,Casado,Ingenieria en computacion,Sector privado,Iphone 6+,5,4,Si,,1,0,0,0
108,F,30,Soltero,,Institucion publica,Iphone ,10,4,No,31,0,0,0,7
165,M,50,Soltero,Profesor,Sector privado,Smartphone,5,3,Si,7,,1,0,0
